Event,Station,Date/Time,Latitude,Longitude,Elevation [m],Litter obj,Litter cat,Litter fish
HE419/041-5,M24,2014-04-07 4:57:00,54.8738,5.2635,-38,plastic bag,plastics,no
HE419/045-5,M26,2014-04-07 14:04:00,55.013,5.1953,-37,net fiber,plastics,yes
HE419/049-5,M35,2014-04-07 22:31:00,55.3377,4.3668,-44,net fiber,plastics,yes
HE419/049-5,M35,2014-04-07 22:31:00,55.3377,4.3668,-44,fishing line,plastics,yes
HE419/052-6,M48,2014-04-08 6:31:00,55.7398,3.476,300,piece of line,plastics,yes
HE419/054-7,M44,2014-04-08 10:09:00,55.8467,3.4255,-57,beverage can,metal,no
HE419/055-5,M45,2014-04-08 11:20:00,55.9053,3.4062,-63,net fiber,plastics,yes
HE419/056-5,M46,2014-04-08 12:49:00,55.8968,3.4575,-62,cable tie,plastics,no
HE419/056-5,M46,2014-04-08 12:49:00,55.8968,3.4575,-62,cable tie,plastics,no
HE419/056-5,M46,2014-04-08 12:49:00,55.8968,3.4575,-62,nylon line,plastics,yes
HE419/060-5,M38,2014-04-08 21:20:00,55.5607,4.2345,-30,slag,others,no
HE419/060-5,M38,2014-04-08 21:20:00,55.5607,4.2345,-30,slag,others,no
HE419/065-5,M31,2014-04-09 6:28:00,55.2692,4.9147,-44,beverage can,metal,no
HE419/065-5,M31,2014-04-09 6:28:00,55.2692,4.9147,-44,sealing rubber,plastics,no
HE419/068-5,M52,2014-04-09 12:47:00,55.2495,5.637,-42,candy packaging,plastics,no
HE419/069-5,M53,2014-04-09 14:37:00,55.3958,5.625,-47,net fiber,plastics,yes
HE419/069-5,M53,2014-04-09 14:37:00,55.3958,5.625,-47,net fiber,plastics,yes
HE419/069-5,M53,2014-04-09 14:37:00,55.3958,5.625,-47,net fiber,plastics,yes
HE419/069-5,M53,2014-04-09 14:37:00,55.3958,5.625,-47,net fiber,plastics,yes
HE419/069-5,M53,2014-04-09 14:37:00,55.3958,5.625,-47,net fiber,plastics,yes
HE419/069-5,M53,2014-04-09 14:37:00,55.3958,5.625,-47,net fiber,plastics,yes
HE419/069-5,M53,2014-04-09 14:37:00,55.3958,5.625,300,net fiber,plastics,yes
HE419/069-5,M53,2014-04-09 14:37:00,55.3958,5.625,-47,net fiber,plastics,yes
HE419/069-5,M53,2014-04-09 14:37:00,55.3958,5.625,-47,net fiber,plastics,yes
HE419/069-5,M53,2014-04-09 14:37:00,55.3958,5.625,-47,net fiber,plastics,yes
HE419/069-5,M53,2014-04-09 14:37:00,55.3958,5.625,-47,net fiber,plastics,yes
HE419/069-5,M53,2014-04-09 14:37:00,55.3958,5.625,-47,net fiber,plastics,yes
HE419/069-5,M53,2014-04-09 14:37:00,55.3958,5.625,-47,net fiber,plastics,yes
HE419/069-5,M53,2014-04-09 14:37:00,55.3958,5.625,-47,net fiber,plastics,yes
HE419/069-5,M53,2014-04-09 14:37:00,55.3958,5.625,-47,net fiber,plastics,yes
HE419/069-5,M53,2014-04-09 14:37:00,55.3958,5.625,-47,net fiber,plastics,yes
HE419/069-5,M53,2014-04-09 14:37:00,55.3958,5.625,-47,net fiber,plastics,yes
HE419/069-5,M53,2014-04-09 14:37:00,55.3958,5.625,-47,net fiber,plastics,yes
HE419/069-5,M53,2014-04-09 14:37:00,55.3958,5.625,-47,net fiber,plastics,yes
HE419/069-5,M53,2014-04-09 14:37:00,55.3958,5.625,-47,net fiber,plastics,yes
HE419/069-5,M53,2014-04-09 14:37:00,55.3958,5.625,-47,net fiber,plastics,yes
HE419/069-5,M53,2014-04-09 14:37:00,55.3958,5.625,-47,net fiber,plastics,yes
HE419/069-5,M53,2014-04-09 14:37:00,55.3958,5.625,-47,net fiber,plastics,yes
HE419/069-5,M53,2014-04-09 14:37:00,55.3958,5.625,-47,net fiber,plastics,yes
HE419/069-5,M53,2014-04-09 14:37:00,55.3958,5.625,-47,net fiber,plastics,yes
HE419/069-5,M53,2014-04-09 14:37:00,55.3958,5.625,-47,net fiber,plastics,yes
HE419/069-5,M53,2014-04-09 14:37:00,55.3958,5.625,-47,net fiber,plastics,yes
HE419/069-5,M53,2014-04-09 14:37:00,55.3958,5.625,-47,net fiber,plastics,yes
HE419/069-5,M53,2014-04-09 14:37:00,55.3958,5.625,-47,net fiber,plastics,yes
HE419/069-5,M53,2014-04-09 14:37:00,55.3958,5.625,-47,net fiber,plastics,yes
HE419/069-5,M53,2014-04-09 14:37:00,55.3958,5.625,-47,net fiber,plastics,yes
HE419/069-5,M53,2014-04-09 14:37:00,55.3958,5.625,-47,net fiber,plastics,yes
HE419/069-5,M53,2014-04-09 14:37:00,55.3958,5.625,-47,net fiber,plastics,yes
HE419/069-5,M53,2014-04-09 14:37:00,55.3958,5.625,-47,net fiber,plastics,yes
HE419/069-5,M53,2014-04-09 14:37:00,55.3958,5.625,-47,net fiber,plastics,yes
HE419/069-5,M53,2014-04-09 14:37:00,55.3958,5.625,-47,net fiber,plastics,yes
HE419/069-5,M53,2014-04-09 14:37:00,55.3958,5.625,-47,net fiber,plastics,yes
HE419/069-5,M53,2014-04-09 14:37:00,55.3958,5.625,-47,net fiber,plastics,yes
HE419/069-5,M53,2014-04-09 14:37:00,55.3958,5.625,-47,net fiber,plastics,yes
HE419/069-5,M53,2014-04-09 14:37:00,55.3958,5.625,-47,net fiber,plastics,yes
HE419/069-5,M53,2014-04-09 14:37:00,55.3958,5.625,-47,net fiber,plastics,yes
HE419/069-5,M53,2014-04-09 14:37:00,55.3958,5.625,-47,net fiber,plastics,yes
HE419/069-5,M53,2014-04-09 14:37:00,55.3958,5.625,-47,net fiber,plastics,yes
HE419/069-5,M53,2014-04-09 14:37:00,55.3958,5.625,-47,net fiber,plastics,yes
HE419/069-5,M53,2014-04-09 14:37:00,55.3958,5.625,-47,net fiber,plastics,yes
HE419/069-5,M53,2014-04-09 14:37:00,55.3958,5.625,-47,net fiber,plastics,yes
HE419/069-5,M53,2014-04-09 14:37:00,55.3958,5.625,-47,net fiber,plastics,yes
HE419/069-5,M53,2014-04-09 14:37:00,55.3958,5.625,-47,net fiber,plastics,yes
HE419/069-5,M53,2014-04-09 14:37:00,55.3958,5.625,-47,net fiber,plastics,yes
HE419/069-5,M53,2014-04-09 14:37:00,55.3958,5.625,-47,net fiber,plastics,yes
HE419/069-5,M53,2014-04-09 14:37:00,55.3958,5.625,-47,net fiber,plastics,yes
HE419/069-5,M53,2014-04-09 14:37:00,55.3958,5.625,-47,net fiber,plastics,yes
HE419/069-5,M53,2014-04-09 14:37:00,55.3958,5.625,-47,net fiber,plastics,yes
HE419/069-5,M53,2014-04-09 14:37:00,55.3958,5.625,-47,net fiber,plastics,yes
HE419/069-5,M53,2014-04-09 14:37:00,55.3958,5.625,-47,net fiber,plastics,yes
HE419/069-5,M53,2014-04-09 14:37:00,55.3958,5.625,-47,net fiber,plastics,yes
HE419/069-5,M53,2014-04-09 14:37:00,55.3958,5.625,-47,net fiber,plastics,yes
HE419/069-5,M53,2014-04-09 14:37:00,55.3958,5.625,-47,net fiber,plastics,yes
HE419/069-5,M53,2014-04-09 14:37:00,55.3958,5.625,-47,net fiber,plastics,yes
HE419/069-5,M53,2014-04-09 14:37:00,55.3958,5.625,-47,net fiber,plastics,yes
HE419/069-5,M53,2014-04-09 14:37:00,55.3958,5.625,-47,ballon with line,plastics,no
HE419/071-5,M55,2014-04-09 18:22:00,55.4342,5.8862,-47,net fiber,plastics,yes
HE419/073-5,M58,2014-04-09 20:55:00,55.2502,5.891,-43,net fiber,plastics,yes
HE419/074-5,M57,2014-04-09 23:19:00,55.3217,6.0862,-46,net fiber,plastics,yes
HE419/074-5,M57,2014-04-09 23:19:00,55.3217,6.0862,-46,net fiber,plastics,yes
HE419/075-5,M61,2014-04-10 1:22:00,55.1365,5.9857,-40,tyre with metal rim,others,no
HE419/075-5,M61,2014-04-10 1:22:00,55.1365,5.9857,-40,net fiber,plastics,yes
HE419/075-5,M61,2014-04-10 1:22:00,55.1365,5.9857,-40,net fiber,plastics,yes
HE419/075-5,M61,2014-04-10 1:22:00,55.1365,5.9857,-40,net fiber,plastics,yes
HE419/075-5,M61,2014-04-10 1:22:00,55.1365,5.9857,-40,net fiber,plastics,yes
HE419/075-5,M61,2014-04-10 1:22:00,55.1365,5.9857,-40,net fiber,plastics,yes
HE419/075-5,M61,2014-04-10 1:22:00,55.1365,5.9857,-40,plastic foil,plastics,no
HE419/076-6,M69,2014-04-10 4:33:00,55.0825,6.236,-42,net fiber,plastics,yes
HE419/077-6,M19,2014-04-10 7:17:00,55.061,6.403,-43,plastic foil,plastics,no
HE419/077-6,M19,2014-04-10 7:17:00,55.061,6.403,-43,net fibers,plastics,yes
HE419/077-6,M19,2014-04-10 7:17:00,55.061,6.403,-43,net fibers,plastics,yes
HE419/077-6,M19,2014-04-10 7:17:00,55.061,6.403,-43,net fibers,plastics,yes
HE419/077-6,M19,2014-04-10 7:17:00,55.061,6.403,-43,net fibers,plastics,yes
HE419/077-6,M19,2014-04-10 7:17:00,55.061,6.403,300,net fibers,plastics,yes
HE419/077-6,M19,2014-04-10 7:17:00,55.061,6.403,-43,net fibers,plastics,yes
HE419/077-6,M19,2014-04-10 7:17:00,55.061,6.403,-43,net fibers,plastics,yes
HE419/077-6,M19,2014-04-10 7:17:00,55.061,6.403,-43,net fibers,plastics,yes
HE419/077-6,M19,2014-04-10 7:17:00,55.061,6.403,-43,net fibers,plastics,yes
HE419/077-6,M19,2014-04-10 7:17:00,55.061,6.403,-43,piece of plastic foil,plastics,no
HE419/078-6,M64,2014-04-10 10:00:00,55.1488,6.3918,-45,net fibers,plastics,yes
HE419/078-6,M64,2014-04-10 10:00:00,55.1488,6.3918,300,net fibers,plastics,yes
HE419/078-6,M64,2014-04-10 10:00:00,55.1488,6.3918,-45,net fibers,plastics,yes
HE419/078-6,M64,2014-04-10 10:00:00,55.1488,6.3918,-45,net fibers,plastics,yes
HE419/078-6,M64,2014-04-10 10:00:00,55.1488,6.3918,-45,net fibers,plastics,yes
HE419/079-5,M63,2014-04-10 12:12:00,55.2218,6.2267,-45,plastic foil,plastics,no
HE419/079-5,M63,2014-04-10 12:12:00,55.2218,6.2267,-45,piece of plastic bag,plastics,no
HE419/079-5,M63,2014-04-10 12:12:00,55.2218,6.2267,-45,net fiber,plastics,yes
HE419/080-5,M65,2014-04-10 13:52:00,55.2867,6.4078,-38,plastic bag,plastics,no
HE419/080-5,M65,2014-04-10 13:52:00,55.2867,6.4078,-38,plastic foil,plastics,no
HE419/080-5,M65,2014-04-10 13:52:00,55.2867,6.4078,-38,net fiber,plastics,yes
HE419/081-5,M62,2014-04-10 16:02:00,55.3677,6.3667,-39,plastic fiber,plastics,yes
HE419/082-5,M70,2014-04-10 18:16:00,55.292,6.8068,-24,net fiber,plastics,yes
HE419/082-5,M70,2014-04-10 18:16:00,55.292,6.8068,-24,plastic foil,plastics,no
HE419/082-5,M70,2014-04-10 18:16:00,55.292,6.8068,-24,plastic foil,plastics,no
HE419/082-5,M70,2014-04-10 18:16:00,55.292,6.8068,-24,plastic foil,plastics,no
HE419/085-5,M72,2014-04-11 1:53:00,55.0547,7.5393,-20,net fiber,plastics,yes
HE419/087-5,M75,2014-04-11 6:16:00,55.0208,8.1307,-12,net fiber,plastics,yes
HE419/087-5,M75,2014-04-11 6:16:00,55.0208,8.1307,-12,plastic foil,plastics,no
HE419/090-5,M97,2014-04-11 12:12:00,54.4783,7.899,-16,net fiber,plastics,yes
HE419/091-5,FSd,2014-04-11 14:17:00,54.3643,7.5815,-28,net fiber,plastics,yes
HE419/091-5,FSd,2014-04-11 14:17:00,54.3643,7.5815,-28,net fiber,plastics,yes
HE419/091-5,FSd,2014-04-11 14:17:00,54.3643,7.5815,-28,net fiber,plastics,yes
HE419/091-5,FSd,2014-04-11 14:17:00,54.3643,7.5815,-28,net fiber,plastics,yes
HE419/091-5,FSd,2014-04-11 14:17:00,54.3643,7.5815,-28,net fiber,plastics,yes
HE419/091-5,FSd,2014-04-11 14:17:00,54.3643,7.5815,-28,net fiber,plastics,yes
HE419/091-5,FSd,2014-04-11 14:17:00,54.3643,7.5815,-28,net fiber,plastics,yes
HE419/091-5,FSd,2014-04-11 14:17:00,54.3643,7.5815,-28,net fiber,plastics,yes
HE419/091-5,FSd,2014-04-11 14:17:00,54.3643,7.5815,-28,net fiber,plastics,yes
HE419/091-5,FSd,2014-04-11 14:17:00,54.3643,7.5815,-28,net fiber,plastics,yes
HE419/095-5,M82,2014-04-11 22:34:00,54.1848,8.3247,-13,Plastic bottle,plastics,no
HE419/096-5,M84,2014-04-12 0:12:00,54.0905,8.2015,-14,cable tie,plastics,no
HE419/096-5,M84,2014-04-12 0:12:00,54.0905,8.2015,-14,plastic foil,plastics,no
HE419/096-5,M84,2014-04-12 0:12:00,54.0905,8.2015,-14,packaging foil,plastics,no
HE419/097-5,M86,2014-04-12 3:51:00,53.8585,7.6837,-16,net fiber,plastics,yes
HE419/097-5,M86,2014-04-12 3:51:00,53.8585,7.6837,-16,plastic fiber,plastics,yes
HE419/098-5,M94,2014-04-12 5:52:00,53.8783,7.5478,-18,net fiber,plastics,yes
HE419/098-5,M87,2014-04-12 5:52:00,53.8783,7.5478,-18,net fiber,plastics,yes
HE419/099-5,M87,2014-04-12 7:17:00,53.8553,7.3525,-22,net fiber,plastics,yes
HE419/098-5,M87,2014-04-12 5:52:00,53.8783,7.5478,-18,net fiber,plastics,yes
HE419/099-5,M87,2014-04-12 7:17:00,53.8553,7.3525,-22,net fiber,plastics,yes
HE419/100-5,M89,2014-04-12 9:46:00,53.8185,7.062,-19,net fiber,plastics,yes
HE419/101-5,M90,2014-04-12 11:27:00,53.866,6.8883,-22,piece of cable tie,plastics,no
HE419/101-5,M90,2014-04-12 11:27:00,53.866,6.8883,-22,net fiber,plastics,yes
HE419/102-5,M95,2014-04-12 13:01:00,53.8303,6.6423,-20,net fiber,plastics,yes
HE419/102-5,M95,2014-04-12 13:01:00,53.8303,6.6423,-20,net fiber,plastics,yes
HE419/102-5,M95,2014-04-12 13:01:00,53.8303,6.6423,-20,net fiber,plastics,yes
HE419/103-5,M93,2014-04-12 15:04:00,53.72,6.4828,-19,net fiber,plastics,yes
HE419/103-5,M93,2014-04-12 15:04:00,53.72,6.4828,-19,net fiber,plastics,yes
HE419/104-5,M91,2014-04-12 16:43:00,53.6567,6.4595,-12,net fiber,plastics,yes
HE419/104-5,M91,2014-04-12 16:43:00,53.6567,6.4595,-12,net fiber,plastics,yes
HE419/104-5,M91,2014-04-12 16:43:00,53.6567,6.4595,-12,net fiber,plastics,yes
HE419/104-5,M91,2014-04-12 16:43:00,53.6567,6.4595,-12,plastic mesh,plastics,yes
HE419/105-5,M92,2014-04-12 18:07:00,53.6557,6.429,-15,net fiber,plastics,yes
HE419/105-5,M92,2014-04-12 18:07:00,53.6557,6.429,-15,net fiber,plastics,yes
HE419/105-5,M92,2014-04-12 18:07:00,53.6557,6.429,-15,net fiber,plastics,yes
HE419/105-5,M92,2014-04-12 18:07:00,53.6557,6.429,-15,plastic foil,plastics,no
HE480/24-23,,2017-03-29 9:17:00,55.8466,3.4414,-57,plastic net fiber,plastics,yes
HE480/25-2,,2017-03-30 6:31:00,54.949,6.8891,-28,plastic net fiber,plastics,yes
HE480/25-2,,2017-03-30 6:31:00,54.949,6.8891,-28,plastic foil,plastics,no
HE480/26-1,,2017-03-30 7:09:00,54.9488,6.8888,-29,plastic foil fragment,plastics,no
HE480/26-1,,2017-03-30 7:09:00,54.9488,6.8888,-29,plastic fragment,plastics,no
HE480/29-1,,2017-03-30 10:08:00,54.9123,6.8689,-31,rubber strip,plastics,no
HE480/29-1,,2017-03-30 10:08:00,54.9123,6.8689,-31,plastic fragment,plastics,no
HE480/29-1,,2017-03-30 10:08:00,54.9123,6.8689,-31,glas fragment,glass,no
HE480/29-2,,2017-03-30 10:26:00,54.9089,6.8773,-29,plastic net fiber,plastics,yes
HE480/31-2,,2017-03-30 11:52:00,54.9039,6.9005,-26,plastic foil,plastics,no
HE480/32-2,,2017-03-30 13:02:00,54.8507,6.9347,-28,plastic net fiber,plastics,yes
HE480/32-2,,2017-03-30 13:02:00,54.8507,6.9347,-28,plastic net fiber,plastics,yes
HE480/32-2,,2017-03-30 13:02:00,54.8507,6.9347,-28,plastic net fiber,plastics,yes
HE480/33-10,,2017-03-30 17:49:00,55.005,6.5041,-42,plastic net fiber,plastics,yes
HE480/33-10,,2017-03-30 17:49:00,55.005,6.5041,-42,plastic net fiber,plastics,yes
HE480/34-1,,2017-03-31 5:35:00,54.8494,6.9373,-27,plastic fishing line,plastics,yes
HE480/34-1,,2017-03-31 5:35:00,54.8494,6.9373,-27,plastic net fiber,plastics,yes
HE480/35-2,,2017-03-31 6:54:00,54.8431,6.9653,-26,plastic foil fragment,plastics,no
HE480/35-2,,2017-03-31 6:54:00,54.8431,6.9653,-26,plastic net fiber,plastics,yes
HE480/35-2,,2017-03-31 6:54:00,54.8431,6.9653,200,plastic net fiber,plastics,yes
HE480/37-1,,2017-04-01 8:10:00,54.0491,8.077,-19,plastic foil fragment,plastics,no
HE480/37-1,,2017-04-01 8:10:00,54.0491,8.077,-19,plastic net fiber,plastics,yes
HE480/38-1,,2017-04-01 10:08:00,54.0049,7.8231,-32,glas bottle,glass,no
HE419/027-7,M79,2014-04-05 22:35:00,54.9312,6.4383,-40,net fiber,plastics,yes
HE419/009-5,M05,2014-04-03 23:14:00,54.2122,6.4518,-34,net fiber,plastics,yes
HE419/082-5,M70,2014-04-10 18:16:00,55.292,6.8068,-24,plastic foil,plastics,no
HE419/069-5,M53,2014-04-09 14:37:00,55.3958,5.625,-47,net fiber,plastics,yes
HE419/077-6,M19,2014-04-10 7:17:00,55.061,6.403,-43,plastic foil,plastics,no
HE419/082-5,M70,2014-04-10 18:16:00,55.292,6.8068,-24,net fiber,plastics,yes
HE419/091-5,FSd,2014-04-11 14:17:00,54.3643,7.5815,-28,net fiber,plastics,yes
HE419/069-5,M53,2014-04-09 14:37:00,55.3958,5.625,-47,net fiber,plastics,yes
HE419/011-6,M66,2014-04-04 3:41:00,54.1597,6.1593,-32,plastic foil,plastics,no
HE480/32-2,,2017-03-30 13:02:00,54.8507,6.9347,-28,plastic net fiber,plastics,yes
HE480/29-1,,2017-03-30 10:08:00,54.9123,6.8689,-31,glas fragment,glass,no
HE419/102-5,M95,2014-04-12 13:01:00,53.8303,6.6423,-20,net fiber,plastics,yes
HE480/33-10,,2017-03-30 17:49:00,55.005,6.5041,-42,plastic net fiber,plastics,yes
HE419/079-5,M63,2014-04-10 12:12:00,55.2218,6.2267,-45,net fiber,plastics,yes
HE419/040-5,M18,2014-04-07 2:36:00,54.7365,5.0058,-41,plastic bag,plastics,no
HE419/105-5,M92,2014-04-12 18:07:00,53.6557,6.429,-15,net fiber,plastics,yes
HE419/104-5,M91,2014-04-12 16:43:00,53.6567,6.4595,-12,plastic mesh,plastics,yes
HE419/013-5,M06,2014-04-04 8:20:00,54.311,6.4655,-33,net fiber,plastics,yes
HE419/085-5,M72,2014-04-11 1:53:00,55.0547,7.5393,-20,net fiber,plastics,yes
HE419/026-9,WB,2014-04-05 20:20:00,54.9985,6.5,-42,plastic foil,plastics,no
HE419/069-5,M53,2014-04-09 14:37:00,55.3958,5.625,-47,net fiber,plastics,yes
HE419/016-5,M10,2014-04-04 16:00:00,54.6177,6.065,-38,plastic foil,plastics,no
HE419/069-5,M53,2014-04-09 14:37:00,55.3958,5.625,-47,net fiber,plastics,yes
HE419/041-5,M24,2014-04-07 4:57:00,54.8738,5.2635,-38,plastic bag,plastics,no
HE419/105-5,M92,2014-04-12 18:07:00,53.6557,6.429,-15,net fiber,plastics,yes
